"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-01","9.17",,"0.00",,"43","31","  230","  250","17.0","25.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-02","8.95",,"0.14",,"49","27","  220","  200","15.0","21.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-03","2.46",,"0.84",,"53","47","  190","  180","8.9","12.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-04","8.50",,"0.11",,"50","33","  310","  290","17.0","23.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-05","9.17",,"0.00",,"43","31","  310","  260","19.9","30.0","    1",,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-06","7.83",,"0.00",,"43","29","  270","  290","21.9","30.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-07","5.37",,"0.00",,"46","26","  260","  260","16.1","19.9",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-08","10.74",,"0.00",,"39","22","  300","  270","23.0","29.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-09","7.61",,"0.00",,"54","20","  160","  180","17.0","23.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-10","6.04",,"0.15",,"60","44","  180","  180","17.0","23.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-11","13.42",,"0.35",,"74","56","  270","  280","32.0","46.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-12","7.83",,"0.02",,"62","35","  260","  250","32.0","45.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-13","3.13",,"0.00",,"50","32","  270","  280","12.1","15.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-14","4.92",,"0.00",,"53","32","  260","  250","17.0","21.9","    1","    1",,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-15","6.04",,"0.00",,"54","29","  280","  270","21.0","30.0","    1","    1",,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-16","13.65",,"0.00",,"49","28","  310","  310","23.0","31.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-17","6.93",,"0.00",,"31","25","   70","   10","14.1","17.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-18","12.08",,"0.99",,"49","29","  280","  290","23.0","32.0","    1",,,"    1",
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-19","13.20",,"0.00",,"36","16","  270","  270","25.1","38.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-20","5.14",,"0.00",,"29","12","  290","  330","12.1","15.0",,,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-21","2.01",,"0.00",,"30","13","  310","  350","8.1","12.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-22","2.01",,"0.00",,"38","11","  200","  170","12.1","16.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-23","2.24",,"0.00",,"44","22","   70","   80","8.9","10.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-24","7.16",,"0.91",,"50","38","  200","  200","21.0","25.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-25","7.16",,"0.11",,"43","34","  240","  220","17.0","23.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-26","7.83",,"0.01",,"35","33","  250","  250","14.1","19.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-27","5.82",,"0.00",,"37","34","  300","  290","12.1","16.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-28","5.37",,"0.00",,"35","32","  280","  310","12.1","14.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-29","2.91",,"0.00",,"35","31","   40","   40","8.9","11.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-30","2.24",,"0.00",,"36","30","  240","  240","8.1","10.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-01-31","2.46",,"0.05",,"37","31","   50","   50","6.0","6.9","    1",,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-01","4.25",,"0.07",,"37","33","  290","  290","17.0","27.1","    1",,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-02","12.08",,"0.00",,"58","35","  260","  270","28.0","40.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-03","6.71",,"0.00",,"66","32","  200","  200","21.0","27.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-04","8.50",,"0.51",,"62","33","  240","  250","18.1","32.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-05","9.17",,"0.46",,"41","32","   90","   20","17.0","25.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-06","5.59",,"0.20",,"38","32","  320","  310","14.1","18.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-07","10.29",,"0.05",,"32","25","  290","  290","19.9","29.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-08","5.82",,"0.02",,"32","25","  190","  180","10.1","14.1","    1",,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-09","6.49",,"0.08",,"41","26","  180","  190","16.1","23.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-10","6.71",,"0.25",,"49","40","  200","  200","14.1","19.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-11","5.59",,"0.05",,"41","34","  280","  260","13.0","17.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-12","4.70",,"0.54",,"37","26","  100","  110","13.0","16.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-13","8.95",,"0.12",,"38","30","  280","  270","18.1","25.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-14","8.05",,"0.00",,"30","15","  320","  310","18.1","27.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-15","6.49",,"0.00",,"37","11","  150","  160","19.9","23.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-16","2.46",,"0.00",,"41","25","  180","  190","8.1","8.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-17","4.70",,"0.00",,"50","20","   70","   60","13.0","17.0","    1","    1",,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-18","9.84",,"0.07",,"53","34","  320","  310","19.9","25.9","    1",,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-19","5.14",,"0.00",,"43","25","  310","  290","14.1","17.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-20","4.92",,"0.00",,"32","17","  320","  350","14.1","18.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-21","3.80",,"0.00",,"35","11","  270","  260","13.0","18.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-22","6.71",,"0.00",,"49","19","  200","  200","16.1","19.9",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-23","5.82",,"0.00",,"52","19","  200","  200","17.0","23.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-24","4.70",,"0.09",,"50","26","  200","  240","12.1","16.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-25","3.80",,"0.22",,"46","41","  280","   30","8.1","10.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-26","5.37",,"0.33",,"45","30","  280","  270","21.0","29.1","    1","    1",,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-27","13.42",,"0.02",,"30","23","  270","  280","28.0","38.0","    1",,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-28","10.29",,"0.00",,"31","18","  300","  280","19.9","28.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-02-29","9.40",,"0.00",,"33","18","  300","  300","17.0","27.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-01","7.61",,"0.00",,"50","16","  170","  180","17.0","19.9",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-02","8.72",,"0.11",,"53","44","  200","  180","17.0","23.9","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-03","10.51",,"0.90",,"58","42","  300","  300","31.1","45.0","    1",,"    1",,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-04","9.84",,"0.00",,"57","35","  270","  240","25.9","38.9",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-05","3.36",,"0.00",,"54","24","  290","  290","14.1","19.9",,,,,"    1"
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-06","11.18",,"0.10",,"41","32","  330","  330","25.1","34.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-07","5.59",,"0.00",,"45","27","  330","  360","17.0","25.1",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-08","6.71",,"0.00",,"63","25","  190","  180","15.0","19.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-09","9.62",,"0.00",,"69","38","  190","  180","29.1","34.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-10","10.96",,"0.19",,"63","43","  200","  190","23.0","31.1","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-11","2.91",,"0.01",,"52","41","  270","   20","10.1","17.0","    1",,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-12","6.04",,"0.08",,"67","41","  180","  160","15.0","19.0",,,,,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-13","13.20",,"0.26",,"61","38","  300","  300","25.9","36.0","    1",,"    1",,
"USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US","39.94609","-81.89315","268.6","2020-03-14","3.36",,"0.29",,"43","30","  280","  260","12.1","17.0","    1",,,,"    1"
